Система должна обнаружить уязвимости SQL и уязвимости XSS для данного веб-сайта или веб-приложения	Пользователь может ввести URL для анализа на наличие уязвимостей.
Система должна анализировать обнаруженную уязвимость	Система уведомляет пользователя о найденных уязвимостях в понятной форме.
Система должна идентифицировать приемлемые низкие ложноположительные показатели	Пользователь информируется о вероятности ложноположительных результатов в анализах.
Система должна проверять сертификат SSL	Пользователь получает уведомление о статусе SSL-сертификата при загрузке сайта.
Система должна генерировать отчет об обнаруженных и проанализированных уязвимостях	Пользователь может скачать или просмотреть отчет в формате PDF после завершения анализа.
Система должна иметь дружественный пользовательский интерфейс для целей удобства использования и для лучшего пользовательского опыта	Пользователь легко находит необходимые функции в интерфейсе, что повышает его удобство.
Система должна иметь дружеский дизайн интерфейса для улучшения опыта пользователя	Пользователь отмечает, что дизайн интерфейса интуитивно понятен и привлекателен.
Система должна разрешать входные входы с использованием различных удобных входных компонентов, основанных на графических концепциях интерфейса пользователя (GUI)	Пользователь может удобно вводить данные через различные графические элементы интерфейса.
Отчеты системы должны быть предоставлены в отраслевом формате	Пользователь имеет возможность получать отчеты в соответствии с общепринятыми стандартами (JSON, CSV и т.д.).
Система должна быть в состоянии тщательно диагностировать реальные уязвимости, которые существуют на основе проведения экспериментов на основе формул	Пользователь может удостовериться в точности диагностики через графическое представление данных.
Система должна обнаружить уязвимости SQL и уязвимости XSS для данного веб-сайта или веб-приложения	Пользователь может проверить, есть ли уязвимости только по одному URL-адресу.
Система должна анализировать обнаруженную уязвимость	Система предоставляет подробные результаты анализа пользователю, чтобы он мог их оценить.
Система должна идентифицировать приемлемые низкие ложноположительные показатели	Пользователь может видеть, какие показатели были классифицированы как потенциально ложные.
Система должна проверять сертификат SSL	Пользователь получает отчет о состоянии безопасности SSL перед использованием веб-ресурса.
Система должна генерировать отчет об обнаруженных и проанализированных уязвимостях	Пользователь может получить отчет в дизайне, соответствующем визуальной структуре анализа.
Система должна иметь дружественный пользовательский интерфейс для целей удобства использования и для лучшего пользовательского опыта	Пользователь может быстро адаптироваться к интерфейсу без предварительной подготовки.
Система должна иметь дружеский дизайн интерфейса для улучшения опыта пользователя	Пользователь хочет, чтобы все элементы интерфейса были доступны и понятны.
Система должна разрешать входные входы с использованием различных удобных входных компонентов, основанных на графических концепциях интерфейса пользователя (GUI)	Пользователь может легко взаимодействовать с интерфейсом без необходимости в обучении.
Отчеты системы должны быть предоставлены в отраслевом формате	Пользователь должен иметь возможность отправлять отчеты для анализа в других системах.
Система должна быть в состоянии тщательно диагностировать реальные уязвимости, которые существуют на основе проведения экспериментов на основе формул	Пользователь может добавить параметры для настройки диагностики.
