Technical Specification,User Story
"Цель проекта
",ел роекта
"Разработка системы для мониторинга и управления сетевыми соединениями в университетской Wi-Fi сети с возможностью предотвращения несанкционированного доступа и сканирования портов.
",араотка систем дл мониторина и уравлени сетевми соединеними в университетско Wi-Fi сети с вомоност редотвраени несанкионированноо достуа и сканировани
"
",
"Основные функции системы
",сновне ункии систем
"Модуль работы с базой данных
",одул раот с ао данн
"
",
"Независимые классы для работы с базами данных, обеспечивающие удобное тестирование и легкость в обновлении системы.
","еависиме класс дл раот с аами данн, оесеиваие удоное тестирование и лекост в оновлении систем."
"Мониторинг сетевых портов
",сетев ортов
"
",
"Способность прослушивать любые порты в университетской сети Wi-Fi.
",осоност рослуиват ле орт в университетско сети Wi-Fi.
"Функция блокировки подключения к Интернету для компьютеров, выполняющих сканирование портов.
","дл комтеров, волни сканирование ортов."
"Система оповещений
",истема оовеени
"
",
"Возможность отправки сценариев предупреждения.
",отравки сенариев редуредени.
"Отображение сообщения на экране «Rogue Node», предупреждая пользователя о запрете сканирования портов. Запись таких инцидентов для студентов.
",аис таки инидентов дл студентов.
"Анализ сетевой активности
",нали сетево активности
"
",
"Проверка состояния NetStat и недавних сетевых подключений для выявления потенциальных угроз (Rogue Nodes).
",роверка состони NetStat и недавни сетев одклени дл ввлени отениалн уро (Rogue Nodes).
"Восстановление уникальных идентификаторов узлов для регистрации пользователей.
",осстановление уникалн идентиикаторов улов дл реистраии олователе.
"Идентификация мошеннических узлов
",дентиикаи моеннески улов
"
",
"Запись имени хоста мошеннического узла и SSID сети, к которой он подключен, для определения источника атаки.
","аис имени оста моенниескоо ула и SSID сети, к которо он одклен, дл оределени истоника атаки."
"Сравнение с данными студентов и университетским ПК-регистром.
",равнение с даннми студентов и университетским -реистром.
"Отчеты и статистика
",тет и статистика
"
",
"Генерация ежемесячных отчетов для просмотра сетевыми администраторами.
",енераи еемесн отетов дл росмотра сетевми администраторами.
"Поддержка запросов к базе данных с временем отклика не более 2 секунд.
",оддерка аросов к ае данн с временем отклика не олее 2 секунд.
"Операционная совместимость
",ераионна совместимост
"
",
"Установка на платформе Linux с минимальными настройками и простая установка на Windows.
",становка на латорме Linux с минималнми настроками и роста установка на Windows.
"Пользовательский интерфейс
",олователски интерес
"
",
"Интуитивно понятный графический интерфейс, использующий низкоуровневый код в фоне для повышения производительности.
","онтн раиески интерес, исолуи никоуровнев код в оне дл овени роиводителности."
"Безопасность доступа
",еоасност достуа
"
",
"Ввод PIN-кода для аутентификации с отображением перфорированных цифр.
",вод PIN-кода дл аутентиикаии с отораением ерорированн ир.
"Сигнализация о 3 последовательных неправильных попытках (зуммер и SMS-уведомления).
",иналиаи о 3 оследователн неравилн отка (уммер и SMS-уведомлени).
"Управление данными
",равление даннми
"
",
"Высокая доступность приложения и восстановление после потери мобильного телефона.
",рилоени и восстановление осле отери моилноо телеона.
"Высокая пропускная способность для обработки запросов пользователей.
",роускна сосоност дл ораотки аросов олователе.
"Короткая передача данных между компьютером и смартфоном по Bluetooth.
",оротка ередаа данн меду комтером и смартоном о Bluetooth.
"Требования к системе
",реовани к системе
"Поддержка работы на Windows и Linux.
",оддерка раот на Windows и Linux.
"Обновление системы должно происходить с учетом патчей и новых версий.
",олно роисодит с уетом ате и нов верси.
"Система должна быть подтянута к вопросам быстродействия, обеспечения безопасности и удобства использования.
","истема долна т одтнута к воросам стродестви, оесеени еоасности и удоства исоловани."
"Доставка системы с полной документацией и руководством пользователя.
",оставка систем с олно документаие и руководством оловател.
"Возможность входа администратора для настройки и запуска ПО.
",омоност вода администратора дл настроки и ауска.
"Ожидаемые результаты
",е реултат
"какая то белеберда
",кака то елеерда
"Повышение уровня безопасности в университетской сети.
",овение уровн еоасности в университетско сети.
"Минимизация случаев несанкционированного доступа.
",инимиаи слуаев несанкионированноо достуа.
"Эффективное выявление и документирование сетевых инцидентов.
",ективное ввление и документирование сетев инидентов.
Улучшение пользовательского опыта для студентов и администраторов.,луение олователскоо ота дл студентов и администраторов.
