Система должна обнаружить уязвимости SQL и уязвимости XSS для данного веб-сайта или веб-приложения	Как пользователь, я хочу ввести URL, чтобы проанализировать его на наличие уязвимостей.
Система должна анализировать обнаруженную уязвимость	Как пользователь, я хочу получать уведомления о найденных уязвимостях в понятной форме.
Система должна идентифицировать приемлемые низкие ложноположительные показатели	Как пользователь, я хочу быть информированным о вероятности ложноположительных результатов в анализах.
Система должна проверять сертификат SSL	Как пользователь, я хочу получать уведомление о статусе SSL-сертификата при загрузке сайта.
Система должна генерировать отчет об обнаруженных и проанализированных уязвимостях	Как пользователь, я хочу скачать или просмотреть отчет в формате PDF после завершения анализа.
Система должна иметь дружественный пользовательский интерфейс для целей удобства использования и для лучшего пользовательского опыта	Как пользователь, я хочу легко находить необходимые функции в интерфейсе, чтобы повысить его удобство.
Система должна иметь дружеский дизайн интерфейса для улучшения опыта пользователя	Как пользователь, я хочу, чтобы дизайн интерфейса был интуитивно понятным и привлекательным.
Система должна разрешать входные входы с использованием различных удобных входных компонентов, основанных на графических концепциях интерфейса пользователя (GUI)	Как пользователь, я хочу удобно вводить данные через различные графические элементы интерфейса.
Отчеты системы должны быть предоставлены в отраслевом формате	Как пользователь, я хочу получать отчеты в соответствии с общепринятыми стандартами (JSON, CSV и т.д.).
Система должна точно диагностировать реальные уязвимости на основе проведенных анализов.	Как пользователь, я хочу удостовериться в точности диагностики через графическое представление данных.
Система должна обнаруживать уязвимости SQL и XSS для указанного веб-сайта или веб-приложения.	Как пользователь, я хочу проверить наличие уязвимостей, вводя только один URL-адрес.
Система должна анализировать обнаруженные уязвимости.	Как пользователь, я хочу получать подробные результаты анализа, чтобы оценить риски.
Система должна идентифицировать приемлемый уровень ложноположительных выводов.	Как пользователь, я хочу видеть, какие показатели классифицированы как потенциально ложные.
Система должна проверять статус SSL-сертификата.	Как пользователь, я хочу получать отчет о состоянии SSL-сертификата, прежде чем использовать веб-ресурс.
Система должна генерировать отчеты об обнаруженных уязвимостях и их анализе.	Как пользователь, я хочу получить отчет, оформленный в соответствии с визуальной структурой анализа.
Система должна иметь удобный для пользователя интерфейс для повышения общего опыта.	Как пользователь, я хочу быстро адаптироваться к интерфейсу без необходимости в обучении.
Система должна иметь интуитивно понятный дизайн интерфейса для улучшения пользовательского опыта.	Как пользователь, я хочу, чтобы все элементы интерфейса были доступны и понятны, чтобы легче выполнять действия.
Система должна поддерживать различные графические компоненты для ввода данных.	Как пользователь, я хочу легко взаимодействовать с интерфейсом, используя удобные графические элементы, без необходимости в обучении.
Отчеты системы должны быть предоставлены в формате, соответствующем отраслевым стандартам.	Как пользователь, я хочу иметь возможность экспортировать отчеты для анализа в других системах.
Система должна быть в состоянии тщательно диагностировать реальные уязвимости, которые существуют на основе проведения экспериментов на основе формул	Как пользователь, я могу добавить параметры для настройки диагностики.
Система позволит пользователю облачного регистрации и создавать учетную запись в процессе регистрации.	Как пользователь, я могу зарегистрироваться и создать учетную запись в системе.
После регистрации система должна генерировать общий ключ шифрования	Как пользователь, я получаю уникальный секретный ключ шифрования сразу после регистрации.
Система должна позволить пользователю генерировать публичные и частные ключи ECC, которые должны использоваться для шифрования ключа шифрования AES, а также для PDP	Как пользователь, я могу сгенерировать свои ключи для обеспечения безопасности данных.
